title,company,location,description,job_url,source,search_query,role_category,scraped_at
Social Media Marketing Intern,MJ marketing consultancy,"Bhavnagar, Gujarat, India (Remote)","🌟 Exciting Internship Opportunity at MJ Marketing Consultancy! 🌟

Are you someone who loves social media, content creation, and all things marketing? 🚀
Here’s your chance to kickstart your career in Social Media Marketing (SMM) with hands-on experience, mentorship, and real industry exposure!

💼 Position: Social Media Marketing Intern
📍 Mode: Remote
🕒 Duration: 3 Months
⌛ Commitment: 18 hrs/week
💰 Stipend: Unpaid (but rich in learning, skills & portfolio growth)

✨ What You’ll Do:

Create and curate engaging content for various platforms

Help manage and schedule posts using modern social tools

Research trends, hashtags, and audience insights

Collaborate with our creative team to run exciting campaigns


🎯 What You’ll Gain:

Real-world experience in managing active brand accounts

Mentorship from experienced marketers

Certificate of completion + LinkedIn recommendation

Flexible working hours to balance studies and work


If you’re creative, curious, and ready to learn — this internship is for you! 🙌

📩 Apply Now:
Fill out the form 👉 https://forms.gle/J4LSNPLFUsPpMrG69
or email us at hr@mjmarketingconsultancy.in

⚡ Hurry — limited slots available!
Let’s build the next generation of marketing talent together 💡

#MJMarketingConsultancy #SocialMediaMarketing #Internship #MarketingInternship #RemoteWork #SMM #HiringNow #InternshipOpportunity #DigitalMarketing

Special thanks to Mihir Bhatt, our founder, for inspiring and supporting young marketers through this initiative 💫",https://www.linkedin.com/jobs/view/4362623500/,linkedin,computer vision intern,ai_ml,2026-03-07 17:52:26.417884+00:00
Digital Marketing Intern,Webs X UM,India (Remote),"Digital Marketing Intern (Paid)
Company: Webs X UM
Location: Remote
Duration: 3 Months
Employment Type: Internship (Performance-Based Stipend)
Stipend: ₹15,000 (Performance-Based)
Role Overview:
Gain hands-on experience in planning and executing digital marketing campaigns, creating content, and analyzing performance across multiple platforms.
Key Responsibilities:
Assist in social media, SEO, SEM, and email marketing campaigns
Create and manage marketing content
Track and analyze campaign performance
Conduct market research and competitor analysis
Support lead generation and conversion strategies
Eligibility:
Students or graduates in Marketing, Business, Communications, or related fields with basic knowledge of digital marketing concepts. Familiarity with tools like Google Analytics, Google Ads, or Canva is preferred.
Benefits:
Performance-based stipend
Internship Certificate
Potential full-time opportunity based on performance",https://www.linkedin.com/jobs/view/4382391701/,linkedin,computer vision intern,ai_ml,2026-03-07 17:52:33.412871+00:00
Digital Marketing Internship,DayMap | Media & Marketing,"Vadodara, Gujarat, India (On-site)","Role Description
This is a full-time on-site Digital Marketing Internship role located in Vadodara. The intern will assist with planning and executing digital marketing campaigns, managing and analyzing social media platforms, tracking web analytics, and contributing to online marketing strategies. Tasks may also include content creation, reporting on campaign performance, and collaborating with team members on marketing initiatives.

Qualifications
Strong knowledge in Digital Marketing, Online Marketing, and Social Media Marketing
Familiarity with Web Analytics tools and applying insights to optimize campaigns
Excellent Communication skills for collaboration and creating engaging content
Creativity, attention to detail, and organizational skills
Bachelor's degree in Marketing, Communications, or a related field (completed or in progress) is a plus",https://www.linkedin.com/jobs/view/4381372469/,linkedin,computer vision intern,ai_ml,2026-03-07 17:53:03.640474+00:00
MERN STACK(Backend) Developer Intern(Student Prefer),EventsBridge,"Bhubaneshwar, Odisha, India (Remote)","Job description
🚀 MERN Stack Developer Intern(Unpaid)
Company: EventsBridge.
Location: Remote (India)
Duration: 2 - 4 Months (Prefer Student)
Joining: Immediate

🌟 About EventsBridge
EventsBridge is a DPIIT-recognized EventTech-cum-FinTech startup focused on building a smarter, transparent, and tech-driven event marketplace for India. We work on real-world problems in the event ecosystem using modern technologies and scalable architectures.
We are looking for a highly motivated MERN Stack / Backend Developer Intern who is eager to learn, build, and work on live production systems, not just dummy projects.

🔧 Key ResponsibilitiesDevelop and maintain backend services using Node.js and Express.js
Design, build, and test RESTful APIs using Postman
Work with MongoDB for database design and operations
Implement Redis for caching and performance optimization
Integrate Cloudinary for image and media handling
Assist in deployment and infrastructure management on AWS
Configure and support NGINX
Collaborate with frontend developers using React.js
Debug, test, optimize, and improve backend features

🛠️ Technical Skills RequiredNode.js
Express.js
REST API Development
Postman (API Testing)
MongoDB
Redis
Cloudinary
AWS (EC2, S3 – basic understanding)
NGINX
React.js (basic knowledge)
Git & Version Control

🎓 What You’ll Gain6 months of real startup & production experience
Hands-on work on live, scalable systems
Deep understanding of backend architecture & DevOps basics
Internship Completion Certificate
Performance-based Letter of Recommendation
Pre-Placement Opportunity (PPO) for a full-time role based on performance

📩 How to Apply
Send your resume to:
hr@eventsbridge.com",https://www.linkedin.com/jobs/view/4381216335/,linkedin,ml engineer intern,ai_ml,2026-03-07 17:53:58.715188+00:00
Python Developer Intern,Zenithbyte,India (Remote),"Python Developer Intern (Paid)
Company: Zenithbyte Private Limited
Location: Remote
Duration: 3 Months
Application Deadline: 10th March 2026
Stipend & Benefits:
Performance-based stipend up to ₹15,000
Certificate of Internship
Letter of Recommendation (based on performance)
Swags and goodies
Potential full-time offer based on performance
Role Overview:
Work on real-world software development projects, build and test Python applications, and collaborate with experienced developers on backend features and API integrations.
Eligibility:
Students or graduates in Computer Science, IT, or related fields with strong Python fundamentals. Basic knowledge of Django or Flask and Git is preferred.
Apply now to gain hands-on experience and grow your career in software development.",https://www.linkedin.com/jobs/view/4381376141/,linkedin,ml engineer intern,ai_ml,2026-03-07 17:54:06.344375+00:00
Python Developer Intern,UM IT PRIVATE LIMITED,India (Remote),"Python Developer Intern (Paid)
Company: UM IT PRIVATE LIMITED
Location: Remote
Duration: 3 Months
Application Deadline: 10th March 2026
Stipend & Benefits:
Performance-based stipend up to ₹15,000
Certificate of Internship
Letter of Recommendation (based on performance)
Swags and goodies
Potential full-time offer based on performance
Role Overview:
Work on real-world software development projects, build and test Python applications, and collaborate with experienced developers on backend features and API integrations.
Eligibility:
Students or graduates in Computer Science, IT, or related fields with strong Python fundamentals. Basic knowledge of Django or Flask and Git is preferred.
Apply now to gain hands-on experience and grow your career in software development.",https://www.linkedin.com/jobs/view/4382605148/,linkedin,ml engineer intern,ai_ml,2026-03-07 17:54:15.957389+00:00
Python Developer Intern,WEBBOOST SOLUTION IT SERVICES,India (Remote),"Python Developer Intern (Paid)
Company: WEBBOOST SOLUTION IT SERVICES
Location: Remote
Duration: 3 Months
Stipend: Up to ₹15,000 (Performance-Based)
Role Overview:
Work on backend development, automation tasks, and data-driven applications using Python. Gain hands-on experience building real-world projects.
Key Responsibilities:
Write clean and optimized Python code
Develop backend services and automation scripts
Work with frameworks like Django or Flask
Integrate APIs and support system development
Debug and maintain existing applications
Eligibility:
Students or graduates in Computer Science, IT, or related fields with strong knowledge of Python fundamentals and OOP concepts. Basic understanding of SQL, APIs, and Git is preferred.",https://www.linkedin.com/jobs/view/4382606074/,linkedin,ml engineer intern,ai_ml,2026-03-07 17:54:22.648136+00:00
Full Stack Engineer Intern,Louder,"New Delhi, Delhi, India (On-site)","Full Stack Engineer Intern 

6-Month Full-Time Internship
Location: Lajpat Nagar, New Delhi
Stipend: 10,000 INR for Full Time 
High performers may be considered for full-time role post internship

Louder is an entertainment company building next-generation ticketing and digital products for live experiences, with its Head Office in Lajpat Nagar, New Delhi.

We’re looking for Full Stack Engineer Intern who can build, scale, and ship fast — working across our AI-powered entertainment ticketing system, seat-map modules, event management ai modules and other digital projects.

You’ll work directly with the founding team, managing core product development and digital initiatives that power our ticketing platform and client experiences.

In this role, you’ll own features end-to-end — from designing and implementing front-end interfaces with React and Next.js to building robust back-end services in Node.js or Python. You’ll design and integrate APIs, connect AI models like Gemini and OpenAI, and implement custom LLM workflows in production. If you enjoy building data-rich, AI-powered systems, experimenting with cutting-edge tech, and turning ideas into real products — this is the place for you.

What You’ll Do

Develop and maintain Louder’s ticketing and event management products, including a PHP-based ticketing system.
Design, build, and deploy full-stack web applications using React, Next.js, Node.js, and modern frameworks.
Integrate and work with AI tools and APIs (OpenAI, Gemini, Anthropic) to fast-track product development.
Collaborate across design, marketing, and product teams to build and enhance digital experiences.
Work with databases (MongoDB, SQL/NoSQL) and integrate third-party APIs.
Manage timelines, priorities, and feature delivery across multiple digital projects.

What We’re Looking For

12 Months of hands-on full-stack development internship experience.
Proficiency in React, Next.js, Node.js, PHP, and database management (SQL/NoSQL).
Ability to own projects end-to-end — from idea to deployment.
Familiarity with AI frameworks, SDKs, or tools for rapid application development.
Excellent problem-solving, debugging, and cross-functional collaboration skills.

Preferred / Bonus Skills

Experience in an early-stage startup or founder-like environment.
Exposure to LangChain, LangFlow, or similar AI-agent frameworks.
Demonstrated ability to build impactful products from scratch.
Startup & ownership mindset — adaptable, resourceful, and able to ship fast.

Why Join Louder

Build products shaping the future of live entertainment and ticketing.
Work directly with founders in a fast-paced, no-bureaucracy environment.
Be part of a creative tech team working at the intersection of AI, events, and digital innovation.",https://www.linkedin.com/jobs/view/4381349961/,linkedin,ml engineer intern,ai_ml,2026-03-07 17:54:29.772729+00:00
Leads Generations Internship,Code Inbound LLP,India (Remote),"Title: Lead Generation Intern
 Location: Fully Remote
 Duration: 6 Months
 Stipend: ₹1,000 – ₹5,000 per month (performance-based)
 Working Hours: Flexible working hours
Job Description
We are looking for a proactive and detail-oriented Lead Generation Intern to join our team for a 6-month remote internship. The intern will assist in identifying potential customers, improving outreach strategies, and supporting lead generation initiatives. This role is ideal for someone who wants hands-on experience in lead generation and sales support while working with flexible hours.
Roles & Responsibilities
Assist in planning and executing lead generation campaigns
Research and identify potential clients through LinkedIn, social media, and online databases
Build and maintain lead lists using spreadsheets or CRM tools
Support outreach activities including emails, LinkedIn messages, and follow-ups
Conduct market research and competitor analysis
Help in qualifying leads and tracking responses
Assist with email marketing campaigns
Track and report lead generation performance using basic analytics tools
Collaborate remotely with the marketing and sales teams
Requirements
Currently pursuing or recently completed a degree/diploma in Marketing, Business, Communications, or a related field
Basic understanding of lead generation concepts
Familiarity with LinkedIn, email outreach, and prospecting tools
Good written and verbal communication skills
Willingness to learn and take ownership of tasks
Basic knowledge of tools like Google Sheets, Canva, CRM tools (HubSpot/Zoho – optional), or email automation tools
What You Will Gain
Hands-on experience in lead generation and sales outreach
Exposure to real-world marketing and sales projects
Flexible remote working environment
Internship certificate upon successful completion
Letter of recommendation / Pre-Placement Offer (PPO) based on performance.
A prior experience in Lead generation will be Plus",https://www.linkedin.com/jobs/view/4381208623/,linkedin,data science intern,data,2026-03-07 17:55:39.946843+00:00
Data Analyst Trainee,MedTourEasy New Delhi,India (Remote),"Company Description
MedTourEasy is a global healthcare company dedicated to providing essential information and resources to evaluate healthcare options worldwide. By bridging global access gaps, MedTourEasy empowers individuals to make informed decisions. The organization also offers cutting-edge analytical solutions, partnering with healthcare providers across the globe to enhance their services and efficiency.
Role Description
This is a remote internship opportunity for a Data Analyst role. The intern will work on analyzing complex datasets, building data models, and assisting in creating reports to support decision-making. Other key tasks include applying statistical methods, cleaning data, generating insights, and effectively communicating findings to relevant stakeholders.
Qualifications
Strong Analytical Skills and a solid foundation in Data Analytics
Knowledge of Statistics and experience with statistical tools
Experience or familiarity with Data Modeling techniques
Excellent Communication skills for presenting data insights effectively
Proficiency in data visualization tools and knowledge of programming languages such as Python, R, or SQL is a plus
Currently pursuing or completed a degree in Data Science, Statistics, Computer Science, or a related field",https://www.linkedin.com/jobs/view/4381385030/,linkedin,data analyst intern,data,2026-03-07 17:56:41.302212+00:00
Data Analyst Trainee,MedTourEasy,India (Remote),"We are looking for Data Analytics trainees for our upcoming traineeship program.

Data Analytics Trainee Responsibilities: 

Week 1 & 2: Training Modules – Candidates will be completing the learning modules assigned.
Week 3: Live Project – Candidates will be working on the live project assigned to them by the company.
Week 4: Project Report – Candidates will be preparing a project report and submit.

Data Analytics Trainee Requirements:

Bachelor’s degree or pursuing.
Proficiency with computers, especially MS Office.
High level of accountability and motivation.
Strong Interpersonal, time and project management, presentation, leadership, and communication skills.
Creativity and ability to delegate responsibilities.
Receptiveness to feedback and adaptability.
Willingness to meet deadlines.",https://www.linkedin.com/jobs/view/4381381180/,linkedin,data analyst intern,data,2026-03-07 17:56:52.072535+00:00
Data Analyst Trainee,Mdtresy Medical Travel Pvt Ltd,India (Remote),"We are looking for Data Analytics trainees for our upcoming traineeship program.

Data Analytics Trainee Responsibilities:

Week 1 & 2: Training Modules – Candidates will be completing the learning modules assigned.
Week 3: Live Project – Candidates will be working on the live project assigned to them by the company.
Week 4: Project Report – Candidates will be preparing a project report and submit.

Data Analytics Trainee Requirements:

Bachelor’s degree or pursuing.
Proficiency with computers, especially MS Office.
High level of accountability and motivation.
Strong Interpersonal, time and project management, presentation, leadership, and communication skills.
Creativity and ability to delegate responsibilities.
Receptiveness to feedback and adaptability.
Willingness to meet deadlines.",https://www.linkedin.com/jobs/view/4381368734/,linkedin,data analyst intern,data,2026-03-07 17:56:59.189536+00:00
Data Analysis Trainee,MedTourEasy Bengaluru,India (Remote),"We are looking for Data Analytics trainees for our upcoming traineeship program.

Data Analytics Trainee Responsibilities:

Week 1 & 2: Training Modules – Candidates will be completing the learning modules assigned.
Week 3: Live Project – Candidates will be working on the live project assigned to them by the company.
Week 4: Project Report – Candidates will be preparing a project report and submit.

Data Analytics Trainee Requirements:

Bachelor’s degree or pursuing.
Proficiency with computers, especially MS Office.
High level of accountability and motivation.
Strong Interpersonal, time and project management, presentation, leadership, and communication skills.
Creativity and ability to delegate responsibilities.
Receptiveness to feedback and adaptability.
Willingness to meet deadlines.",https://www.linkedin.com/jobs/view/4381381067/,linkedin,data analyst intern,data,2026-03-07 17:57:08.147595+00:00
"Data Analyst Intern (Excel, SQL, Power BI)",Wake Up Whistle,India (Remote),"🚀 Hiring: Data Analyst Intern (Excel, SQL, Power BI)
We are looking for enthusiastic and motivated Data Analyst Interns who want to gain hands-on experience and work on real-world data analytics projects.
🔍 Role & Responsibilities
Analyze datasets using Excel, SQL, and Power BI
Perform data cleaning, transformation, and validation
Create interactive dashboards and reports
Extract insights to support business decision-making
✅ Eligibility Criteria
Freshers are also welcome
Basic understanding of Excel / SQL / Power BI
Strong analytical and problem-solving skills
Willingness to learn and grow in the analytics domain
🌐 Internship Details
📍 Mode: Virtual / Remote
⏳ Duration: Flexible
💰 Stipend: Not stipend based
🌟 Perks & Benefits
Hands-on practical exposure
Internship Certificate
Skill enhancement through real projects
⭐ Top performers will get 100% placement support
📌 How to Apply
Interested candidates can apply by clicking on the “Apply” option.",https://www.linkedin.com/jobs/view/4381361872/,linkedin,data analyst intern,data,2026-03-07 17:57:17.116125+00:00
Business Analyst Intern,WebBoost Solutions by UM,India (Remote),"Business Analyst Intern (Paid)
Company: WebBoost Solutions by UM
Location: Remote
Duration: 3 Months
Application Deadline: 10th March 2025
Opportunity: Full-time role based on performance + Internship Certificate
Stipend & Benefits:
₹15,000 (Performance-Based)
Certificate of Internship
Letter of Recommendation
Opportunity to work on live business analysis projects
Role Overview:
Analyze business processes, prepare reports and dashboards, gather requirements, and support data-driven decision-making.
Eligibility:
Students or recent graduates in Business, Analytics, or related fields. Knowledge of Excel and PowerPoint is required. Familiarity with Power BI or Tableau is preferred.",https://www.linkedin.com/jobs/view/4382601256/,linkedin,business analyst intern,data,2026-03-07 17:58:08.758696+00:00
Business Analyst Intern,Webs IT Solution,India (Remote),"Business Analyst Intern (Paid)
Company: Unified Mentor
Location: Remote
Duration: 3 Months
Application Deadline: 10th March 2026
Opportunity: Full-time role based on performance + Internship Certificate
Stipend & Benefits:
₹15,000 (Performance-Based)
Certificate of Internship
Letter of Recommendation
Opportunity to work on live business analysis projects
Role Overview:
Analyze business processes, prepare reports and dashboards, gather requirements, and support data-driven decision-making.
Eligibility:
Students or recent graduates in Business, Analytics, or related fields. Knowledge of Excel and PowerPoint is required. Familiarity with Power BI or Tableau is preferred.
Apply now to gain practical experience in business analysis and build industry-ready skills.",https://www.linkedin.com/jobs/view/4382390750/,linkedin,business analyst intern,data,2026-03-07 17:58:18.355007+00:00
Business Analyst Trainee,MedTourEasy Hyderabad,India (Remote),"We are looking for Business Analyst trainees for our upcoming traineeship program.

Business Analyst Trainee Responsibilities: 

• Week 1 & 2: Training Modules - Candidates will be completing the learning modules assigned.
• Week 3: Live Project - Candidates will be working on the live project assigned to them by the company.
• Week 4: Project Report - Candidates will be preparing a project report and submit.

Business Analyst Trainee Requirements:

• Bachelor's degree or pursuing.
• Proficiency with computers, especially MS Office.
• High level of accountability and motivation.
• Strong Interpersonal, time and project management, presentation, leadership, and communication skills.
• Creativity and ability to delegate responsibilities.
• Receptiveness to feedback and adaptability.
• Willingness to meet deadlines.",https://www.linkedin.com/jobs/view/4381353911/,linkedin,business analyst intern,data,2026-03-07 17:58:27.337516+00:00
Business Analysis Trainee,MedTourEasy,India (Remote),"We are looking for Business Analyst trainees for our upcoming traineeship program.

Business Analyst Trainee Responsibilities:

Week 1 & 2: Training Modules – Candidates will be completing the learning modules assigned.
Week 3: Live Project – Candidates will be working on the live project assigned to them by the company.
Week 4: Project Report – Candidates will be preparing a project report and submit.

Business Analyst Trainee Requirements:

Bachelor’s degree or pursuing.
Proficiency with computers, especially MS Office.
High level of accountability and motivation.
Strong Interpersonal, time and project management, presentation, leadership, and communication skills.
Creativity and ability to delegate responsibilities.
Receptiveness to feedback and adaptability.
Willingness to meet deadlines.",https://www.linkedin.com/jobs/view/4381359680/,linkedin,business analyst intern,data,2026-03-07 17:58:37.704222+00:00
Business Analyst Intern,Skillzenloop,India (Remote),"Business Analyst Intern (Remote) – Skillzenloop

Location: Remote
Job Type: Internship (Full-time)
Duration: 1–3 Months
Stipend: ₹15,700 per month

About Skillzenloop

Skillzenloop is a technology-driven platform focused on helping students and early professionals develop practical digital skills through project-based learning and real-world industry exposure. We aim to bridge the gap between academic knowledge and industry requirements.

Role Overview

We are looking for a detail-oriented Business Analyst Intern who is interested in analyzing business processes, gathering requirements, and supporting data-driven decision-making. The intern will work with different teams to help identify opportunities for improving business operations and project outcomes.

Key Responsibilities
• Assist in gathering and documenting business and functional requirements.
• Conduct research and analysis to identify trends and insights.
• Prepare reports, presentations, and documentation for stakeholders.
• Support data analysis to help guide business decisions.
• Collaborate with technical and business teams to understand project needs.
• Help monitor project progress and provide analytical support.

Required Skills
• Basic understanding of business analysis concepts and methodologies.
• Familiarity with Microsoft Excel, Google Sheets, or similar tools.
• Strong analytical and problem-solving skills.
• Good communication and documentation skills.
• Ability to interpret data and present insights clearly.
• Attention to detail and organizational skills.

Eligibility
• Students or recent graduates in Business Administration, Management, Economics, Data Analytics, or related fields.
• Candidates interested in gaining practical experience in business analysis.
• Availability to work full-time during the internship period.

What You’ll Gain
• Hands-on experience in business analysis and project coordination.
• Exposure to real business processes and analytical tools.
• Mentorship from experienced professionals.
• Internship completion certificate based on performance.",https://www.linkedin.com/jobs/view/4380898853/,linkedin,business analyst intern,data,2026-03-07 17:58:44.818552+00:00
Data Analytics Trainee,MTEPulse,India (Remote),"We are looking for Data Analytics trainees for our upcoming traineeship program.

Data Analytics Trainee Responsibilities:

Week 1 & 2: Training Modules – Candidates will be completing the learning modules assigned.
Week 3: Live Project – Candidates will be working on the live project assigned to them by the company.
Week 4: Project Report – Candidates will be preparing a project report and submit.

Data Analytics Trainee Requirements:

Bachelor’s degree or pursuing
Proficiency with computers, especially MS Office
High level of accountability and motivation
Strong Interpersonal, time and project management, presentation, leadership, and communication skills
Creativity and ability to delegate responsibilities
Receptiveness to feedback and adaptability
Willingness to meet deadlines",https://www.linkedin.com/jobs/view/4381213453/,linkedin,data engineering intern,data,2026-03-07 17:59:27.689735+00:00
Data Analytics Trainee,MedTourEasy Mumbai,India (Remote),"We are looking for Data Analytics trainees for our upcoming traineeship program.

Data Analytics Trainee Responsibilities:

Week 1 & 2: Training Modules – Candidates will be completing the learning modules assigned.
Week 3: Live Project – Candidates will be working on the live project assigned to them by the company.
Week 4: Project Report – Candidates will be preparing a project report and submit.

Data Analytics Trainee Requirements:

Bachelor’s degree or pursuing.
Proficiency with computers, especially MS Office.
High level of accountability and motivation.
Strong Interpersonal, time and project management, presentation, leadership, and communication skills.
Creativity and ability to delegate responsibilities.
Receptiveness to feedback and adaptability.
Willingness to meet deadlines.",https://www.linkedin.com/jobs/view/4381379125/,linkedin,data engineering intern,data,2026-03-07 17:59:36.427581+00:00
Data Analytics Trainee,MedTourEasy,India (Remote),"We are looking for Data Analytics trainees for our upcoming traineeship program.

Data Analytics Trainee Responsibilities:

Week 1 & 2: Training Modules – Candidates will be completing the learning modules assigned.
Week 3: Live Project – Candidates will be working on the live project assigned to them by the company.
Week 4: Project Report – Candidates will be preparing a project report and submit.

Data Analytics Trainee Requirements:

Bachelor’s degree or pursuing.
Proficiency with computers, especially MS Office.
High level of accountability and motivation.
Strong Interpersonal, time and project management, presentation, leadership, and communication skills.
Creativity and ability to delegate responsibilities.
Receptiveness to feedback and adaptability.
Willingness to meet deadlines.",https://www.linkedin.com/jobs/view/4381364734/,linkedin,data engineering intern,data,2026-03-07 17:59:42.977054+00:00
Data Analytics Trainee,MedTourEasy Bengaluru,India (Remote),"Company Description 
MedTourEasy provides guidance and critical data to individuals seeking healthcare options worldwide. The company collaborates with international partner providers to deliver analytical solutions that enhance healthcare decisions. With a focus on accessibility and informed choices, MedTourEasy helps clients navigate medical tourism efficiently. By leveraging data-driven insights, the company aims to simplify healthcare journeys and global collaboration for better outcomes.
Role Description
This is a remote internship role for a Data Analytics position. The intern will analyze data sets, develop insights, and support the team in making data-driven decisions. Responsibilities include applying data analytics methodologies, conducting statistical analyses, and contributing to business analytics projects to enhance MedTourEasy’s services and partner solutions.
Qualifications
Strong skills in Analytical Thinking, Data Analytics, and basic knowledge of Analytics tools
Proficiency in Business Analytics methodologies and an understanding of Statistics
Ability to interpret, synthesize, and present data findings effectively
Adaptability to remote collaboration and independent project management
Pursuing or recently completed a degree in Data Analysis, Statistics, Business Analytics, or a related field
Proficiency in data visualization tools and programming languages like Python or R is a plus",https://www.linkedin.com/jobs/view/4381354852/,linkedin,data engineering intern,data,2026-03-07 17:59:52.347128+00:00
Data Analytics Trainee,MedTourEasy Gurugram,India (Remote),"We are looking for Data Analytics trainees for our upcoming traineeship program.

Data Analytics Trainee Responsibilities:

Week 1 & 2: Training Modules – Candidates will be completing the learning modules assigned.
Week 3: Live Project – Candidates will be working on the live project assigned to them by the company.
Week 4: Project Report – Candidates will be preparing a project report and submit.

Data Analytics Trainee Requirements:

Bachelor’s degree or pursuing.
Proficiency with computers, especially MS Office.
High level of accountability and motivation.
Strong Interpersonal, time and project management, presentation, leadership, and communication skills.
Creativity and ability to delegate responsibilities.
Receptiveness to feedback and adaptability.
Willingness to meet deadlines.",https://www.linkedin.com/jobs/view/4381332263/,linkedin,data engineering intern,data,2026-03-07 17:59:58.339245+00:00
Full Stack Web Developer Intern,WebBoost Solutions by UM,India (Remote),"Full Stack Web Developer Intern (Paid)
Company: WEBBOOST SOLUTIONS BY UM
Location: Remote
Duration: 3 Months
Stipend & Benefits:
Performance-based stipend up to ₹15,000
Certificate of Internship
Letter of Recommendation (based on performance)
Swags and goodies
Potential full-time role based on performance
Role Overview:
Work on live projects involving both front-end and back-end development. Gain hands-on experience with modern web technologies and build strong technical skills.
Key Responsibilities:
Develop and maintain responsive websites
Build dynamic web applications
Test, debug, and optimize applications
Collaborate with designers and developers
Eligibility:
Students or recent graduates in Computer Science, IT, or related fields with knowledge of HTML, CSS, and JavaScript. Familiarity with React, Angular, or Node.js is preferred.",https://www.linkedin.com/jobs/view/4382392743/,linkedin,software engineer intern,software,2026-03-07 18:01:54.983012+00:00
Web Developer Intern,Webs IT Solution,India (Remote),"Web Developer Intern (Paid)
Company: WEBS IT SOLUTION
Location: Remote
Duration: 3 Months
Stipend: ₹15,000 (Performance-Based)
About the Role:
Work on designing, developing, and maintaining responsive websites and web applications. Gain hands-on experience in both front-end and back-end development through real-world projects.
Responsibilities:
Develop websites using HTML, CSS, JavaScript, and modern frameworks
Work with backend technologies like Node.js, Django, Flask, or PHP
Integrate APIs and optimize website performance
Debug, test, and maintain web applications
Eligibility:
Students or graduates in Computer Science, IT, or related fields with knowledge of HTML, CSS, JavaScript, and basic backend technologies. Familiarity with databases and Git is preferred.",https://www.linkedin.com/jobs/view/4382392662/,linkedin,software engineer intern,software,2026-03-07 18:02:05.856486+00:00
Full-Stack Development Intern,Webs IT Solution,India (Remote),"Full-Stack Development Intern (Paid)
Company: Webs IT Solution
Location: Remote
Duration: 3 Months
Employment Type: Internship (Full-time opportunity based on performance)
Stipend: ₹15,000 (Performance-Based)
Role Overview:
Gain hands-on experience in full-stack web development by working on real projects involving both frontend and backend technologies.
Key Responsibilities:
Develop web applications using React.js and Node.js
Work with databases such as MongoDB or MySQL
Build and integrate REST APIs
Test, debug, and optimize applications
Collaborate in an agile development environment
Eligibility:
Knowledge of HTML, CSS, JavaScript, React.js, and Node.js
Basic understanding of databases and Git/GitHub
Strong problem-solving and teamwork skills
Benefits:
Performance-based stipend
Internship Certificate
Potential full-time opportunity based on performance",https://www.linkedin.com/jobs/view/4382397462/,linkedin,software engineer intern,software,2026-03-07 18:02:37.116053+00:00
Full Stack Web Developer Intern,Dexter's Tech,India (Remote),"Full Stack Web Developer Intern (Paid)
Company: Dexter’s Tech
Location: Remote
Duration: 3 Months
Application Deadline: 10th March 2026
Stipend & Benefits:
Performance-based stipend up to ₹15,000
Internship Certificate
Letter of Recommendation (based on performance)
Swags and goodies
Potential full-time role based on performance
Role Overview:
Work on real-world full-stack development projects, building responsive front-end interfaces and backend services while collaborating with experienced developers.
Eligibility:
Students or recent graduates with strong knowledge of HTML, CSS, and JavaScript. Familiarity with React, Angular, Node.js, or Express.js is preferred.
Apply now to gain hands-on full-stack development experience and build a strong professional portfolio.",https://www.linkedin.com/jobs/view/4381354908/,linkedin,software engineer intern,software,2026-03-07 18:02:46.078656+00:00
Java Developer Intern,Skillzenloop,India (Remote),"Java Developer Intern (Remote) – Skillzenloop

Location: Remote
Job Type: Internship (Full-time)
Duration: 1–3 Months
Stipend: ₹15,700 per month

About Skillzenloop

Skillzenloop is a technology-focused platform dedicated to helping students and early professionals develop practical digital skills through hands-on projects and collaborative learning. Our mission is to bridge the gap between academic knowledge and real-world industry requirements.

Role Overview

We are looking for a motivated Java Developer Intern who is eager to gain hands-on experience in backend and application development. The intern will work with the development team to build, test, and maintain software applications using Java and related technologies.

Key Responsibilities
• Assist in developing and maintaining applications using Java.
• Write clean, efficient, and well-documented code.
• Support debugging, testing, and troubleshooting of applications.
• Collaborate with team members to implement new features and improvements.
• Work with frameworks and tools used in Java development.
• Participate in code reviews and development discussions.

Required Skills
• Basic knowledge of Java programming language.
• Understanding of object-oriented programming (OOP) concepts.
• Familiarity with Java frameworks such as Spring or Spring Boot is a plus.
• Basic knowledge of databases such as MySQL or PostgreSQL is beneficial.
• Understanding of Git or version control systems.
• Strong analytical and problem-solving skills.

Eligibility
• Students or recent graduates in Computer Science, Information Technology, Software Engineering, or related fields.
• Candidates interested in gaining practical experience in Java development.
• Availability to work full-time during the internship period.

What You’ll Gain
• Hands-on experience working on Java development projects.
• Exposure to modern software development tools and frameworks.
• Mentorship from experienced developers.
• Internship completion certificate based on performance.",https://www.linkedin.com/jobs/view/4380895970/,linkedin,software engineer intern,software,2026-03-07 18:02:54.223083+00:00
